65000020-078,六福里,三重區,新北市,6480,393297,425647,448628,438126,350298,517525,550951,731296,1059549,640635,556725,470423,441132,426817,427386,412833,285894,527086,708425,789192,1027470,635872,567480,459734,830720
65000020-051,文化里,三重區,新北市,482969,452555,439013,437678,379758,493758,474340,660775,814234,766368,928524,558659,464149,431517,405988,426644,355424,519712,543802,735386,992942,735903,753024,528869,898146,2652
65000020-030,平和里,三重區,新北市,422,217270,187012,153263,194799,191781,250512,253705,323977,467201,270332,225374,201585,194105,187869,174611,195187,150976,262094,373671,343127,406283,251908,207571,200687,394359
65000020-049,正安里,三重區,新北市,331336,308648,299449,296976,251076,342498,338559,468280,589826,521866,614665,368823,291397,300640,306512,306244,240803,367421,404472,521271,721686,463727,422605,335921,602940,0
65000020-048,正義里,三重區,新北市,406076,362342,342447,341154,300708,383529,367855,505175,585875,607995,784616,452753,376424,340981,314311,333699,297169,391784,349573,559955,848541,603356,609303,423888,710991,8920
65000020-047,正德里,三重區,新北市,232853,208090,196463,197587,174135,222171,217350,288279,329839,340796,430743,262168,225202,196531,178668,189372,166284,223804,206639,318385,475806,333140,331020,235370,402730,0
65000020-045,民生里,三重區,新北市,562539,528057,528039,495083,421243,538664,506970,723508,862973,893085,1157998,648719,522306,493414,469518,490042,446552,554355,464036,785717,1203432,900743,948589,622927,1024291,9500
65000020-091,永安里,三重區,新北市,7280,416905,461724,508126,465583,355873,537232,561118,785748,1178438,755826,680028,528395,483172,457044,440962,449204,335214,572234,698955,846747,1160110,709998,656391,490132,850951
65000020-025,永春里,三重區,新北市,3532,269697,245428,215763,253648,219997,331393,371003,458514,662697,361494,301228,258180,237291,242761,238339,252586,180100,340210,507537,471883,570439,339836,282522,260573,499043
65000020-090,永清里,三重區,新北市,42108,491258,541573,578143,562123,457586,660003,684990,916393,1315996,812008,719448,599972,559930,543661,541988,531544,376002,680315,903754,988701,1255655,801243,745150,576835,993958
65000020-088,永盛里,三重區,新北市,8637,336642,371093,397540,382991,304516,450833,470830,644787,919207,598832,557064,431757,394244,371746,352601,369962,278764,482432,618677,696354,903810,572744,535876,400029,696068
65000020-113,永發里,三重區,新北市,17909,580021,644299,709842,643109,494253,735501,767095,1061370,1552687,967528,865851,702803,640209,634024,641527,620432,442853,781086,1028308,1125655,1441640,910792,836869,650537,1151253
65000020-114,永順里,三重區,新北市,0,420698,465835,501795,480006,388133,550888,558432,774349,1127054,721043,657531,524806,482430,461247,449012,453231,327603,583117,769579,851460,1103376,690135,631862,489935,869822
65000020-092,永煇里,三重區,新北市,2617,275096,292923,312773,290010,224853,334061,343730,486641,718323,457290,420809,327595,297623,285000,283905,274009,191674,346794,440403,533839,727338,453601,425004,311484,539769
65000020-089,永福里,三重區,新北市,5540,556188,612920,666028,622322,490002,714009,734266,1018212,1469766,958077,887774,694261,635105,601967,579885,591259,433853,760261,989959,1102540,1426913,904085,841880,634693,1113187
65000020-087,永德里,三重區,新北市,139787,493053,532047,555272,529417,441497,643836,662186,919465,1257947,813116,748436,577620,543383,518958,506377,507987,401008,689479,820646,973546,1221461,759978,724421,539105,839228
65000020-040,永興里,三重區,新北市,294596,274387,273215,254772,224467,265308,238215,337908,404498,414932,518212,323558,281752,251169,235304,243177,229530,264660,208696,354749,541486,408269,429774,291106,474793,17428
65000020-115,永豐里,三重區,新北市,8263,530359,581086,626453,591245,468215,681810,701951,971786,1401986,913614,845069,665090,611689,576805,554017,567048,419395,728875,935419,1057482,1377289,874074,819462,610375,1061691
65000020-017,田中里,三重區,新北市,8320,614864,674573,716219,699212,551058,834643,881493,1213016,1808776,1068777,936022,766197,708877,685734,690948,658851,439778,848599,1173732,1305153,1697259,1051523,976420,728715,1267131
65000020-015,田心里,三重區,新北市,6960,568370,485203,438071,462429,369628,573555,626972,836574,1228746,724074,619215,531541,507486,480337,466994,467984,333637,603324,807801,886530,1144854,714607,653818,506839,899740
65000020-021,光正里,三重區,新北市,0,428227,378344,339997,372618,324173,456816,481112,619436,897214,519754,433054,387792,363930,371123,383370,366211,250010,466021,690925,643761,760110,483468,403328,387650,760231
65000020-013,光田里,三重區,新北市,62016,662420,595002,536659,605069,512092,774547,839439,1092302,1612642,879430,710465,656291,641310,619791,616652,610115,416580,800792,1153347,1142945,1414204,856087,753248,636448,1130811
65000020-020,光明里,三重區,新北市,11555,1169012,1061876,915518,1111306,1011443,1450172,1587047,1939320,2739430,1567881,1336314,1132785,1026945,1065335,1060283,1107713,790360,1476368,2183985,2043176,2437102,1515003,1297600,1153624,2179248
65000020-057,光華里,三重區,新北市,340825,304171,292439,283110,244951,312708,289810,422408,533377,504050,608425,371568,314621,282766,262792,274207,237104,323122,297020,466446,710373,488589,489795,334843,563756,0
65000020-014,光陽里,三重區,新北市,0,852049,758348,678842,754458,631896,961059,1051834,1370911,2019299,1138392,948656,831511,780309,780035,776078,783717,550873,1024274,1461916,1466861,1822350,1116335,981050,819129,1503062
65000020-035,光榮里,三重區,新北市,287676,255068,238659,235615,215021,253202,232837,318529,373289,380996,472764,297093,259233,224558,202184,216894,203254,246315,204200,340614,518523,390250,404867,279093,471485,0
65000020-036,光輝里,三重區,新北市,246547,214751,201385,200422,178797,221090,210597,283881,319589,347378,441146,283357,252535,212829,187844,204351,191436,235391,199610,325013,487235,366976,379267,264177,448141,0
65000020-022,同安里,三重區,新北市,5126,198017,166784,137781,169649,164094,214692,216866,278457,394361,240231,202932,184019,178568,172080,161865,176859,135712,233826,330825,306315,357940,230522,192505,186579,363608
65000020-023,同慶里,三重區,新北市,249800,227845,223062,212602,189075,226161,209323,287360,318627,363223,491308,285977,241140,211758,192103,205207,195840,228570,177653,317686,506403,379423,398891,264903,440747,172
65000020-075,安慶里,三重區,新北市,312600,294379,286156,287104,246554,327546,318080,446995,585965,490517,545236,350738,290161,286566,292404,277075,199868,340588,403074,518812,734846,449191,402469,322980,570879,10231
65000020-007,成功里,三重區,新北市,3000,1019337,893602,801872,875585,732040,1099340,1185237,1563469,2303966,1320826,1126527,952935,878089,881414,874936,891576,626969,1173195,1711858,1653855,1992515,1259170,1103923,952524,1771032
65000020-050,自強里,三重區,新北市,325256,304608,297734,300849,256284,343229,343253,470133,604577,511257,556684,363245,310149,300964,303081,290430,213406,358928,421964,541598,755968,467077,421025,334940,537687,60128
65000020-070,秀江里,三重區,新北市,185414,175938,171053,171832,151951,192496,185152,251202,304214,287801,346049,214026,180142,166257,153993,165708,140810,203212,204793,291688,429131,278009,260809,197306,346571,0
65000020-004,谷王里,三重區,新北市,150678,140383,135107,136933,122902,156234,151415,199941,243082,206671,224224,156618,131298,137836,146381,121795,85414,137720,158787,201165,274663,181132,164902,135680,247318,0
65000020-085,尚德里,三重區,新北市,410485,411720,428094,396497,320129,443740,442331,616347,798040,677009,762538,488626,396452,405549,424512,395810,293995,471004,526670,698563,985361,640037,595648,460228,814950,865
65000020-076,幸福里,三重區,新北市,508781,599588,661968,681649,637512,816850,567323,831035,1121913,1461494,958234,852047,676797,657224,623021,619371,646270,821233,573089,1113518,1234888,1397493,901758,849633,647735,771211
65000020-033,忠孝里,三重區,新北市,271171,237718,234922,231921,204371,253649,250911,339835,375094,419051,490266,296916,273461,234351,217112,230410,208661,254689,229607,391311,546966,407975,411363,275508,382915,91595
65000020-080,承德里,三重區,新北市,264812,256514,254044,250937,221229,278748,262008,364973,467940,403254,445963,305556,269032,247335,232002,243349,205320,294623,302048,412636,594631,378027,345786,275440,489660,6374
65000020-061,長元里,三重區,新北市,377750,340143,325857,320566,283094,352832,325909,466670,582353,552546,660915,415894,354641,322962,299905,317171,281252,371350,336270,525391,796429,549835,544068,385360,658308,0
65000020-058,長生里,三重區,新北市,155731,136169,126500,128553,113098,146718,141235,196623,239208,230713,280766,171802,147700,129514,117553,125149,109341,149267,138659,215004,322521,224973,226729,155185,259540,1640
65000020-056,長安里,三重區,新北市,313771,297895,299043,281126,231101,314335,306689,434984,557943,492559,568405,358909,301445,285899,281708,275206,215614,327853,338851,486354,701078,482781,484365,332448,557984,3044
